primary_isin,year
US16943C1099,2018
US7615655062,2021
US7615655062,2020
US7615655062,2019
US7615655062,2018
US07261LBA98,2021
US07261LBA98,2019
US07261LBA98,2020
US07261LBA98,2018
US9042141039,2021
US9042141039,2019
US9042141039,2020
US9042141039,2018
US23311P1003,2021
US23311P1003,2019
US23311P1003,2018
US23311P1003,2020
US8343765017,2021
US8343765017,2020
US8343765017,2019
US8343765017,2018
US45667G1031,2021
US45667G1031,2020
US45667G1031,2019
US45667G1031,2018
US98954MAE12,2021
US98954MAE12,2020
US98954MAE12,2019
US98954MAE12,2018
US9111631035,2021
US9111631035,2019
US9111631035,2018
US9111631035,2020
US1462291097,2021
US1462291097,2020
US1462291097,2019
US1462291097,2018
US4811091069,2020
US4811091069,2019
US4811091069,2018
US4811091069,2021
US858577AA77,2020
US858577AA77,2021
US858577AA77,2019
US858577AA77,2018
US8887061088,2021
US8887061088,2020
US8887061088,2019
US8887061088,2018
US3765491010,2021
US3765491010,2020
US3765491010,2019
US3765491010,2018
US4825841095,2021
US4825841095,2020
US4825841095,2019
US4825841095,2018
US0451741096,2021
US0451741096,2020
US0451741096,2019
US0451741096,2018
US8123501061,2021
US8123501061,2020
US8123501061,2019
US8123501061,2018
US5058621021,2021
US5058621021,2020
US5058621021,2019
US5058621021,2018
US74341U1060,2021
US74341U1060,2020
US74341U1060,2019
US74341U1060,2018
US8712371033,2021
US8712371033,2020
US8712371033,2019
US8712371033,2018
US4586653044,2021
US4586653044,2020
US4586653044,2019
US4586653044,2018
US95002L1017,2021
US95002L1017,2020
US95002L1017,2019
US95002L1017,2018
US841504AA14,2021
US841504AA14,2020
US841504AA14,2019
US841504AA14,2018
US7581101000,2021
US7581101000,2020
US7581101000,2019
US7581101000,2018
US15135B1017,2020
US15135B1017,2019
US15135B1017,2018
US15135B1017,2021
US6438721044,2021
US6438721044,2020
US6438721044,2019
US6438721044,2018
US896516AA97,2020
US896516AA97,2019
US896516AA97,2018
US896516AA97,2021
US00790X1019,2021
US00790X1019,2020
US00790X1019,2019
US00790X1019,2018
US5006432000,2021
US5006432000,2020
US5006432000,2019
US5006432000,2018
US6988131024,2021
US6988131024,2020
US6988131024,2019
US6988131024,2018
US2860821022,2021
US2860821022,2020
US2860821022,2019
US2860821022,2018
US08520F1003,2021
US08520F1003,2020
US08520F1003,2019
US08520F1003,2018
US57630J1060,2021
US57630J1060,2020
US57630J1060,2019
US57630J1060,2018
US89628E1047,2021
US89628E1047,2020
US89628E1047,2019
US89628E1047,2018
US204474AA86,2021
US204474AA86,2020
US204474AA86,2019
US204474AA86,2018
US5949724083,2021
US5949724083,2020
US5949724083,2019
US5949724083,2018
US1491501045,2021
US1491501045,2020
US1491501045,2019
US1491501045,2018
US45337C1027,2021
US45337C1027,2020
US45337C1027,2019
US45337C1027,2018
US0732711082,2021
US0732711082,2020
US0732711082,2019
US0732711082,2018
US36162J1060,2021
US36162J1060,2020
US36162J1060,2019
US36162J1060,2018
US4037771056,2021
US4037771056,2020
US4037771056,2019
US4037771056,2018
US98980G1022,2021
US98980G1022,2020
US98980G1022,2019
US98980G1022,2018
US8160744053,2021
US8160744053,2020
US8160744053,2019
US8160744053,2018
USU3000TAB36,2021
USU3000TAB36,2020
USU3000TAB36,2019
USU3000TAB36,2018
US1689051076,2021
US1689051076,2020
US1689051076,2019
US1689051076,2018
US00763M1080,2021
US00763M1080,2020
US00763M1080,2019
US00763M1080,2018
US5729011065,2021
US5729011065,2020
US5729011065,2019
US5729011065,2018
US26210C1045,2021
US26210C1045,2020
US26210C1045,2019
US26210C1045,2018
US7589321071,2021
US7589321071,2020
US7589321071,2019
US7589321071,2018
US49338CAA18,2021
US49338CAA18,2020
US49338CAA18,2019
US49338CAA18,2018
US87611X1054,2021
US87611X1054,2020
US87611X1054,2019
US87611X1054,2018
US4945801037,2021
US4945801037,2020
US4945801037,2019
US4945801037,2018
US92833U2024,2021
US92833U2024,2020
US92833U2024,2019
US92833U2024,2018
US00287Y1091,2021
US00287Y1091,2020
US00287Y1091,2019
US00287Y1091,2018
US95040Q1040,2021
US95040Q1040,2020
US95040Q1040,2019
US95040Q1040,2018
US8754651060,2021
US8754651060,2020
US8754651060,2019
US8754651060,2018
US8522341036,2021
US8522341036,2020
US8522341036,2019
US8522341036,2018
US0937121079,2021
US0937121079,2020
US0937121079,2019
US0937121079,2018
US5894331017,2021
US5894331017,2020
US5894331017,2019
US5894331017,2018
US0009571003,2021
US0009571003,2020
US0009571003,2019
US0009571003,2018
US01377RAA14,2021
US01377RAA14,2020
US01377RAA14,2019
US01377RAA14,2018
US42822Q1004,2021
US42822Q1004,2020
US42822Q1004,2019
US42822Q1004,2018
US04550KAA97,2021
US04550KAA97,2020
US04550KAA97,2019
US04550KAA97,2018
US854403AA01,2021
US854403AA01,2020
US854403AA01,2019
US854403AA01,2018
US9694901011,2021
US9694901011,2020
US9694901011,2019
US9694901011,2018
US3596941068,2021
US3596941068,2020
US3596941068,2019
US3596941068,2018
US7185071062,2021
US7185071062,2020
US7185071062,2019
US7185071062,2018
US74735M1080,2021
US74735M1080,2020
US74735M1080,2019
US74735M1080,2018
US72147K1088,2018
US72147K1088,2019
US72147K1088,2020
US72147K1088,2021
US5260232054,2018
US5260232054,2019
US5260232054,2021
US5260232054,2020
US06985P2092,2021
US06985P2092,2019
US06985P2092,2020
US06985P2092,2018
US98235T1079,2021
US98235T1079,2019
US98235T1079,2020
US98235T1079,2018
